(-39,83),(90,-46)
(0,95),(-33,62)
(-64,-92),(-88,-92)
(18,21),(52,55)
(0,-73),(142,69)
(-23,-35),(84,72)
(-21,34),(-139,34)
(83,-65),(-86,-65)
(-82,77),(-146,13)
(24,-68),(163,71)
(92,-57),(122,-27)
(64,-15),(64,15)
(13,-98),(49,-62)
(-33,97),(127,97)
(31,60),(-135,-106)
(95,-44),(-39,-44)
(85,-33),(50,2)
(-1,62),(-80,-17)
(-95,98),(-34,159)
(-17,-61),(24,-61)
(93,95),(93,-71)
(45,-21),(175,-21)
(91,6),(-55,152)
(14,-47),(172,-205)
(21,40),(190,-129)
(-46,-71),(-46,19)
(79,70),(79,201)
(61,73),(-22,-10)
(21,50),(-3,50)
(81,-24),(-5,62)
(82,-63),(40,-21)
(-57,65),(-225,233)
(-43,7),(-127,7)
(-11,52),(-11,135)
(22,10),(60,10)
(-64,-53),(-169,-53)
(49,7),(176,134)
(84,-31),(234,-181)
(-41,16),(-179,154)
(-67,-34),(5,-106)
(26,54),(137,54)
(7,33),(144,33)
(-57,-77),(-108,-77)
(-30,58),(-30,-93)
(-82,15),(-221,-124)
(85,55),(207,177)
(-77,-61),(-77,53)
(-42,64),(-16,64)
(18,-94),(-36,-94)
(-9,-10),(138,-157)
(13,28),(67,-26)
(-62,6),(-165,109)
(74,-45),(150,-45)
(62,-17),(141,-17)
(22,1),(-133,1)
(-83,-55),(67,-55)
(-97,-81),(-204,-188)
(-38,76),(-38,-88)
(-44,-1),(101,144)
(57,-35),(223,-201)
(-27,-35),(24,-86)
(0,-55),(155,-55)
(-2,19),(143,164)
(64,-76),(-21,-76)
(95,-80),(-43,-80)
(48,95),(-29,172)
(-6,-4),(-6,-130)
(13,-91),(35,-91)
(-73,-74),(33,-180)
(-77,47),(-224,194)
(-34,-90),(-76,-48)
(86,44),(188,146)
(16,65),(-87,168)
(60,76),(196,-60)
(-76,-21),(-103,-48)
(-12,46),(-69,46)
(24,-50),(-13,-87)
(49,-99),(-119,-99)
(63,63),(28,98)
(-40,0),(31,71)
(-83,78),(-229,78)
(6,17),(6,-82)
(96,-1),(96,49)
(98,-5),(41,-5)
(-3,-97),(-3,-55)
(57,96),(-59,212)
(12,63),(104,155)
(-85,-91),(-227,51)
(39,-7),(-113,-159)
(-89,-98),(-89,-163)
(1,46),(130,-83)
(94,-95),(73,-116)
(-92,48),(-153,109)
(45,51),(82,51)
(14,16),(-113,143)
(-23,-19),(28,32)
(75,-73),(75,-109)
(81,40),(239,198)
(-14,-54),(-14,-108)
(-49,-40),(-151,62)
(60,-86),(-21,-167)
(17,-77),(17,-102)
(39,-5),(193,-5)
(29,31),(29,-55)
(58,-55),(58,69)
(37,-57),(96,-57)
(-59,-89),(86,56)
(-29,-16),(-29,98)
(-50,-11),(-50,93)
(12,56),(12,-31)
(-97,69),(24,-52)
(0,-97),(-102,-97)
(-100,82),(-130,52)
(-74,-74),(-17,-17)
(-62,-28),(-62,109)
(8,20),(8,101)
(-91,-13),(37,115)
(-57,-71),(-150,22)
(98,-53),(32,-119)
(-50,19),(-218,19)
(2,61),(-20,39)
(88,55),(38,55)
(-72,-89),(-118,-89)
(31,33),(137,-73)
(-80,73),(82,-89)
(54,93),(189,228)
(-60,44),(63,167)
(-84,-36),(-196,-36)
(77,-13),(-13,-103)
(-57,-51),(-142,34)
(-39,-69),(104,-212)
(16,58),(130,-56)
(31,6),(89,64)
(0,-32),(108,-140)
(-87,46),(75,-116)
(62,31),(111,-18)
(-81,-99),(-141,-99)
(-50,-51),(-50,-85)
(-68,48),(13,129)
(7,97),(7,265)
(3,-9),(-107,-119)
(59,71),(-16,-4)
(-30,35),(-30,79)
(-82,56),(-82,4)
(57,82),(-52,-27)
(83,92),(3,92)
(41,-69),(126,-154)
(-72,3),(-92,3)
(94,23),(-58,175)
(-54,-13),(71,-138)
(-78,-13),(-164,73)
(-56,77),(5,138)
(59,86),(-14,159)
(78,37),(78,-27)
(68,76),(209,217)
(-21,18),(98,-101)
(-59,20),(-59,-75)
(-92,-35),(-251,-35)
(52,-91),(2,-141)
(38,-94),(156,-212)
(44,67),(-76,187)
(-44,-94),(-44,-52)
(82,21),(129,21)
(-61,-93),(-93,-61)
(27,70),(129,-32)
(87,32),(87,137)
(-7,41),(-167,201)
(-1,42),(-1,193)
(-38,78),(-38,-35)
(84,-36),(-54,102)
(37,-79),(173,-215)
(80,-32),(-67,-179)
(90,85),(90,57)
(17,-35),(-81,-35)
(-93,10),(-125,42)
(-47,-73),(79,-73)
(-95,-80),(-182,7)
(-64,-67),(-64,-176)
(-46,36),(-89,-7)
(56,-36),(-99,119)
(-99,-58),(68,-225)
(8,-1),(99,90)
(-91,79),(-91,-58)
(-93,-73),(41,61)
(-53,-33),(-53,-115)
(0,10),(153,10)
(98,11),(98,-115)
(27,88),(102,163)
(83,-17),(34,32)
(82,85),(82,146)
(65,-17),(-46,94)
(-37,-61),(-79,-19)
(-42,-58),(-42,-28)
(52,55),(82,55)
(-82,10),(-82,-63)
(-49,-84),(117,-84)
(-1,79),(-105,79)
(64,-65),(117,-12)
(-30,82),(-30,233)
(74,42),(127,95)
(84,42),(-18,-60)
(-51,60),(58,-49)
(-78,54),(-78,191)
(70,92),(213,235)
(23,84),(-118,84)
(71,-70),(-37,38)
(65,75),(65,-37)
(-31,-25),(128,-184)
(69,-34),(-56,-34)
(78,90),(-10,178)
(44,55),(-77,176)
(48,34),(84,34)
(-30,41),(11,0)
(72,-67),(186,-181)
(60,15),(3,-42)
(91,99),(-8,0)
(-34,-19),(46,-19)
(-77,21),(-191,21)
(-24,-76),(64,12)
(10,22),(56,22)
(-85,11),(-85,61)
(-4,14),(-161,171)
(-70,52),(-96,26)
(4,-76),(147,67)
(-43,-84),(99,58)
(-11,16),(-161,166)
(-8,-65),(-8,21)
(9,-6),(-63,66)
(58,-39),(-86,105)
(75,40),(75,164)
(-55,0),(20,-75)
(-24,-84),(95,-84)
(84,-7),(187,-110)
(61,66),(-33,160)
(53,-14),(53,9)
(81,90),(165,6)
(-49,55),(-158,55)
(-5,60),(-5,-38)
(-39,-34),(-39,28)
(-18,-84),(-18,-143)
(10,89),(99,0)
(7,-15),(148,126)
(23,32),(104,113)
(-26,18),(-150,18)
(-27,-7),(-174,-7)
(-47,92),(-47,133)
(-42,59),(-6,95)
(75,79),(-38,-34)
(20,57),(20,164)
(94,38),(243,187)
(-78,-32),(-78,105)
(86,69),(17,138)
(-86,34),(-118,66)
(26,-2),(64,36)
(-43,-10),(-100,47)
(-79,-6),(-184,99)
(-97,-65),(-210,48)
(25,-35),(25,-202)
(33,-60),(153,-60)
(62,-73),(104,-31)
(62,21),(16,-25)
(71,79),(11,19)
(-79,59),(-79,-92)
(-95,-8),(-208,105)
(28,-91),(28,-13)
(-25,-76),(50,-1)
(-36,-46),(-36,-176)
(-18,-80),(-18,16)
(41,99),(-25,99)
(30,66),(-53,-17)
(25,-88),(-97,34)
(-44,-17),(-145,-17)
(-7,-3),(-61,-3)
(21,-53),(-119,87)
(-46,-83),(-46,24)
(-63,-29),(-121,-87)
(-30,-28),(-81,-79)
(-62,-58),(-135,-131)
(-94,-48),(-94,-134)
(35,-10),(167,-142)
(39,41),(139,-59)
(40,-15),(-42,-97)
(2,-34),(-64,32)
(37,-30),(198,-30)
(-5,-82),(-34,-53)
(-88,69),(-88,122)
(-79,-100),(-79,-138)
(-9,-68),(-9,-147)
(73,-6),(73,-106)
(79,93),(-56,93)
(-89,-54),(-140,-105)
(-31,47),(-51,27)
(65,24),(-69,24)
(-7,-49),(-7,-99)
(-49,81),(-136,-6)
(-87,69),(-87,181)
(-37,68),(21,126)
(13,68),(-149,-94)
(66,-100),(-80,-100)
(47,87),(47,242)
(11,-99),(145,-233)
(-48,43),(-21,43)
(-24,4),(-24,129)
(-75,-25),(-187,87)
(95,36),(36,-23)
(4,11),(-26,11)
(11,-36),(11,57)
(-49,-90),(31,-90)
(-89,-79),(46,-79)
(16,52),(16,187)
(-92,-80),(-154,-18)
(-5,67),(98,67)
(-45,10),(67,10)
(-79,90),(-211,222)
(-46,45),(8,-9)
(55,-28),(-73,100)
(-7,1),(81,89)
(-47,56),(-18,85)
(76,40),(157,40)
(-41,21),(-185,165)
(-69,21),(18,21)
(11,-34),(-63,-34)
(-89,-14),(-89,124)
(58,-47),(58,42)
(54,23),(126,95)
(-21,19),(8,48)
(-40,-34),(-67,-61)
(39,-50),(130,-141)
(71,-31),(163,-31)
(-13,66),(-167,220)
(-96,-68),(-96,53)
(-15,11),(68,11)
(86,32),(247,-129)
(-48,22),(-135,109)
(41,-92),(41,-126)
(-42,-74),(58,-174)
(-53,-19),(-152,-19)
(-100,68),(-100,123)
(-99,8),(-25,8)
(-81,-14),(-23,-72)
(-81,32),(-207,158)
(-93,-100),(50,-243)
(-91,74),(27,-44)
(-100,35),(-189,-54)
(-83,-35),(-83,-103)
(-67,21),(72,-118)
(81,-7),(237,149)
(79,-93),(79,-213)
(-9,-14),(-79,56)
(-14,-88),(54,-20)
(87,31),(-30,148)
(-34,-32),(-93,-32)
(33,-74),(-72,-74)
(47,30),(-91,-108)
(-77,-18),(-77,-168)
(-59,91),(-59,67)
(-71,-70),(-71,-124)
(-57,33),(-21,-3)
(-36,34),(-188,34)
(-98,65),(-98,-88)
(91,-73),(-16,34)
(57,-85),(-4,-24)
(-51,-96),(-151,-96)
(48,91),(-62,201)
(74,9),(-23,106)
(95,13),(134,52)
(-53,76),(76,-53)
(-7,65),(-79,137)
(92,99),(92,42)
(-86,-49),(-86,70)
(-92,19),(-92,-14)
(11,-68),(11,-144)
(41,31),(198,188)
(-56,9),(-112,65)
(-15,-58),(-178,-221)
(-93,-13),(8,88)
(-14,-52),(-14,69)
(-1,-15),(-124,-138)
(-95,74),(-122,47)
(-94,1),(44,-137)
(84,11),(84,-56)
(72,84),(24,36)
(78,-31),(107,-60)
(56,-40),(-2,-98)
(8,-6),(8,-70)
(79,16),(107,-12)
(-10,-65),(-66,-65)
(36,-39),(-80,-155)
(24,83),(-16,83)
(19,23),(-97,-93)
(92,98),(162,98)
(-41,-71),(-161,-191)
(-25,-6),(112,-143)
(62,47),(89,20)
(82,0),(104,-22)
(61,-52),(-29,-142)
(83,-58),(25,0)
(65,92),(-58,215)
(91,-7),(91,-37)
(22,-91),(42,-91)
(-44,-51),(-44,-219)
(96,0),(234,138)
(52,23),(100,-25)
(23,90),(23,226)
(84,90),(84,217)
(83,15),(152,15)
(-92,74),(-138,74)
(35,-3),(35,149)
(-2,89),(-2,200)
(-58,-67),(6,-67)
(8,-76),(8,-12)
(66,64),(14,12)
(55,1),(-15,1)
(-84,-85),(-244,-245)
(41,-4),(41,92)
(45,-9),(192,-9)
(-68,-70),(-182,-184)
(-37,15),(7,15)
(39,29),(83,73)
(-54,-5),(-180,-131)
(48,-40),(48,83)
(-24,-89),(-158,-89)
(7,50),(-130,-87)
(-59,-33),(-81,-11)
(-3,87),(-3,131)
(2,69),(-31,36)
(-1,93),(62,156)
(-60,-40),(-227,-40)
(-28,-7),(80,-7)
(-44,96),(-44,166)
(46,16),(11,51)
(83,-84),(143,-144)
(-97,-34),(-148,17)
(-64,83),(13,83)
(28,-46),(135,-46)
(14,-66),(14,24)
(-21,64),(-127,-42)
(60,57),(165,-48)
(-27,69),(1,69)
(37,64),(-42,143)
(-69,-64),(93,-64)
(71,52),(160,141)
(-94,-10),(27,-10)
(24,-69),(-18,-69)
(47,-3),(72,-3)
(-94,-8),(-17,-8)
(-87,16),(65,168)
(-68,-17),(-68,-138)
(-29,45),(-62,45)
(-51,40),(63,40)
(-70,-84),(55,41)
(99,37),(225,-89)
(87,-45),(153,21)
(-1,22),(162,185)
(-62,70),(-62,37)
(-47,-89),(-47,54)
(56,21),(10,67)
(-39,15),(-114,90)
(-17,39),(-131,-75)
(-71,16),(-175,120)
(71,37),(-65,-99)
(-88,-9),(-88,-150)
(-39,4),(-39,126)
(15,-36),(15,-173)
(85,66),(179,-28)
(-19,94),(99,212)
(-15,-51),(72,-51)
(65,-64),(199,-198)
(73,96),(181,96)
(-13,99),(94,-8)
(3,17),(-117,-103)
(81,-37),(220,-176)
(-71,-76),(-209,-76)
(70,-37),(152,45)
(-36,-17),(-162,-17)
(19,57),(168,57)
(53,81),(-111,245)
(81,-26),(-31,86)
(91,-88),(35,-144)
(-25,-50),(18,-93)
(-73,12),(-99,12)
(76,-50),(7,19)
(-15,-20),(145,140)
(-63,-8),(-139,68)
(-75,34),(-75,144)
(60,-74),(32,-46)
(90,-98),(68,-98)
(-95,20),(-60,55)
(-67,44),(-67,-60)
(94,-9),(225,122)
(71,27),(71,-22)
(71,87),(-57,87)
(-26,32),(-143,149)
(10,-46),(-94,-46)
(-91,67),(-20,67)
(-12,92),(-148,228)
(36,87),(-107,230)
(-22,87),(130,87)
(-33,0),(-33,-21)
(-61,11),(-61,-47)
(95,-5),(-38,-5)
(49,90),(23,64)
(58,-23),(88,-53)
(-79,78),(-145,12)
(66,5),(95,-24)
(-56,4),(110,-162)
(-96,11),(-177,92)
(-77,37),(-243,203)
(84,61),(122,99)
(52,-65),(-52,-169)
(-35,-27),(-115,-107)
(-49,79),(-105,23)
(-64,39),(-103,0)
(96,-32),(44,20)
(79,-54),(79,18)
(35,-42),(-37,-114)
(71,-99),(161,-9)
(-63,-98),(-206,45)
(-25,-55),(-25,-129)
(76,-12),(-73,-161)
(80,18),(80,52)
(86,-7),(182,89)
(39,-23),(39,113)
(-13,-55),(-13,-9)
(-53,52),(-23,52)
(55,-29),(1,25)
(-31,-70),(121,-70)
(-29,-38),(136,127)
(80,59),(203,59)
(-48,-41),(-135,-41)
(-12,-95),(51,-32)
(-49,16),(-49,-131)
(-80,-76),(88,-76)
(-5,-76),(-52,-29)
(-94,71),(-180,157)
(85,24),(234,24)
(-65,63),(-65,99)
(-77,70),(80,227)
(27,51),(-54,132)
(-81,29),(69,-121)
(53,-34),(-9,-96)
(-58,-71),(-38,-91)
(53,-69),(122,0)
(7,-37),(-151,121)
(-74,-7),(-74,55)
(-85,63),(-64,84)
(-34,4),(-34,-59)
(-67,58),(-67,0)
(-76,1),(-184,109)
(-17,-45),(20,-45)
(-62,-50),(-218,-206)
(13,35),(-152,200)
(-72,-32),(-10,-94)
(-69,10),(95,174)
(-86,64),(-154,64)
(22,18),(22,87)
(-81,-72),(-81,-191)
(-65,86),(-87,108)
(-64,69),(80,69)
(4,-41),(-118,-41)
(27,91),(79,91)
(2,-33),(2,48)
(84,-51),(84,-89)
(67,9),(39,-19)
(-11,-25),(97,83)
(-87,-17),(-87,-164)
(-48,22),(72,-98)
(33,-98),(33,-70)
(93,21),(93,-110)
(41,-15),(-126,-182)
(34,-12),(-11,-57)
(49,-7),(122,-80)
(68,36),(129,-25)
(-80,71),(-132,19)
(-55,-60),(-55,84)
(-58,26),(91,175)
(99,16),(99,73)
(-99,3),(-209,3)
(43,53),(43,-104)
(-54,-65),(-118,-129)
(24,3),(-10,3)
(-74,32),(-238,-132)
(72,-95),(72,-3)
(-17,47),(-53,47)
(-37,89),(16,89)
(-56,93),(80,-43)
(-2,47),(155,-110)
(34,-81),(98,-145)
(22,7),(-56,85)
(91,-73),(162,-73)
(-68,28),(16,112)
(-25,-64),(111,-64)
(77,-22),(187,-132)
(-77,13),(64,13)
(-88,44),(-88,185)
(63,-76),(63,-192)
(-17,-37),(140,120)
(-10,-85),(34,-85)
(-5,-27),(-48,16)
(9,-6),(149,-146)
(72,-30),(15,-87)
(35,73),(-31,7)
(-31,35),(36,102)
(59,-97),(-43,5)
(-82,12),(-18,76)
(-21,-41),(-50,-70)
(32,75),(32,170)
(-31,10),(-31,-103)
(32,-55),(32,56)
(-82,7),(56,145)
(-58,-87),(49,-194)
(68,-56),(141,-129)
(8,67),(-49,67)
(-74,-20),(-74,138)
(-45,-40),(-125,-40)
(22,-12),(22,134)
(33,7),(58,32)
(66,-10),(-57,-10)
(4,-87),(-126,43)
(-90,64),(-90,-78)
(31,7),(-57,7)
(87,-79),(215,-79)
(-18,-24),(-132,-138)
(17,40),(-59,116)
(99,-14),(-23,-14)
(77,-100),(212,-100)
(66,42),(119,95)
(6,17),(6,-129)
(76,53),(-83,212)
(26,20),(-8,20)
(48,81),(18,111)
(-27,28),(110,165)
(-85,-22),(-177,-114)
(-22,-34),(92,80)
(60,-66),(60,-182)
(51,-81),(-85,-217)
(24,7),(72,-41)
(79,6),(59,-14)
(-13,-20),(-110,-20)
(-92,17),(-92,-15)
(47,73),(47,168)
(-61,-52),(-16,-97)
(-17,46),(-136,165)
(17,-75),(17,-181)
(32,-38),(143,-38)
(69,-93),(-62,-224)
(-13,-13),(-41,15)
(-96,5),(-96,-62)
(-21,-54),(0,-75)
(-5,3),(-5,-85)
(-99,-13),(-249,137)
(12,35),(-127,-104)
(97,56),(97,122)
(15,-50),(-21,-50)
(37,-52),(61,-76)
(53,29),(217,29)
(75,26),(179,130)
(-71,25),(71,-117)
(64,-79),(64,-28)
(56,-38),(-93,111)
(71,-63),(71,-188)
(-61,51),(-61,107)
(99,47),(99,-49)
(-24,-32),(-48,-8)
(46,-4),(46,-27)
(73,30),(221,30)
(51,-39),(208,-196)
(-25,-4),(-54,25)
(33,89),(151,207)
(40,-70),(182,72)
(77,23),(16,-38)
(43,-64),(-30,-64)
(-16,-66),(-16,95)
(17,28),(17,-101)
(41,-83),(-49,-83)
(13,97),(13,186)
(38,-96),(156,-214)
(-66,-77),(84,-77)
(-2,-32),(-2,-113)
(-43,-75),(-43,-12)
(-89,-96),(24,-96)
(-16,-98),(82,-196)
(-81,81),(-33,129)
(30,-34),(-75,-34)
(-29,-94),(-69,-94)
(81,23),(108,23)
(43,89),(144,190)
(-86,-90),(-86,-18)
(66,1),(18,49)
(3,59),(76,59)
(-8,-20),(136,124)
(46,95),(138,3)
(53,-56),(142,-56)
(19,-100),(-87,-100)
(89,-7),(172,76)
(-45,-87),(-21,-111)
(14,92),(-30,136)
(52,10),(52,-29)
(42,-97),(-72,-211)
(50,-39),(-108,-39)
(-42,-63),(-19,-63)
(89,-42),(136,5)
(3,-92),(3,-44)
(73,-32),(-56,97)
(-39,-86),(119,72)
(-24,-47),(-24,-180)
(-91,-24),(-91,-114)
(-10,-80),(119,-80)
(-91,-96),(27,-214)
(-37,18),(31,86)
(-22,11),(-22,-75)
(80,14),(101,35)
(-20,1),(-83,1)
(54,-85),(-74,43)
(-8,-11),(-93,74)
(9,-58),(-45,-58)
(98,59),(239,59)
(-71,-54),(10,27)
(10,-43),(-17,-70)
(24,-50),(136,-162)
(51,-59),(-73,-59)
(-44,43),(-44,-35)
(-68,52),(52,172)
(46,-32),(160,-32)
(80,-66),(145,-1)
(-67,38),(-196,167)
(48,-72),(161,41)
(-70,72),(-70,-20)
(-87,41),(-141,-13)
(-15,-31),(-15,60)
(-78,-40),(-39,-40)
(29,-20),(-59,-20)
(15,-76),(15,-155)
(62,39),(42,59)
(67,32),(-63,32)
(4,63),(-114,181)
(4,-24),(-135,-163)
(-3,16),(58,16)
(77,26),(38,26)
(-93,5),(-93,33)
(29,89),(123,-5)
(29,21),(-135,185)
(-47,-59),(121,-59)
(-96,-18),(-225,111)
(10,-80),(40,-80)
(37,17),(165,17)
(-57,-29),(29,-115)
(29,-57),(-43,-129)
(84,6),(4,-74)
(-73,61),(-206,194)
(-98,12),(54,12)
(47,19),(173,145)
(-8,72),(19,72)
(-11,-3),(-11,-152)
(20,-81),(73,-134)
(-86,-32),(83,-201)
(74,-34),(6,-102)
(-73,78),(-73,152)
(-58,-20),(93,-20)
(51,58),(-58,58)
(30,-84),(93,-147)
(-35,19),(-35,59)
(-10,44),(-10,-112)
(-88,-53),(-162,-53)
(14,19),(71,-38)
(-51,-21),(62,92)
(59,-86),(-2,-86)
(72,-68),(72,-99)
(-100,79),(25,79)
(-2,32),(-88,32)
(-24,91),(-185,-70)
(91,-48),(150,11)
(23,21),(-4,-6)
(-100,77),(-242,219)
(44,-99),(44,33)
(-67,-19),(-29,-57)
(-40,50),(-95,50)
(-18,-93),(-149,-93)
(51,-99),(-78,-228)
(-46,-72),(-46,90)
(1,-47),(50,-96)
(83,-30),(12,41)
(-29,40),(68,137)
(-78,-29),(-154,-29)
(73,-55),(73,-159)
(-96,1),(-96,-25)
(3,67),(128,-58)
(47,-100),(47,-129)
(-94,-8),(-162,60)
(14,-33),(73,26)
(59,-85),(-98,-242)
(-62,87),(-62,-64)
(84,-35),(84,47)
(67,87),(-91,-71)
(54,45),(54,187)
(46,21),(-77,21)
(-86,-98),(38,26)
(-31,13),(19,63)
(28,63),(79,63)
(2,-18),(41,-18)
(48,51),(-58,51)
(-10,71),(-47,71)
(16,72),(16,6)
(-7,50),(-7,16)
(4,63),(-123,190)
(-24,10),(-70,-36)
(-27,-31),(-104,-31)
(4,-93),(-44,-141)
(10,-59),(-112,63)
(-88,60),(-18,-10)
(32,97),(-67,-2)
(-1,-86),(144,-231)
(77,77),(200,200)
(-13,-64),(-13,-190)
(-42,-61),(-74,-61)
(98,-93),(98,-61)
(-52,-63),(-82,-33)
(97,60),(14,-23)
(57,-63),(-94,88)
(-97,-5),(-71,-5)
(-28,41),(-179,41)
(77,50),(48,50)
(41,-36),(41,19)
(-29,15),(80,124)
(52,-89),(92,-129)
(71,-73),(192,48)
(-84,93),(-134,143)
(-60,47),(-60,87)
(-60,-8),(-60,-91)
(94,-4),(94,134)
(61,7),(216,162)
(-78,77),(-24,77)
(40,89),(40,186)
(68,15),(35,-18)
(-40,-69),(117,-226)
(30,-38),(100,32)
(54,90),(147,183)
(-62,-2),(6,66)
(-95,-39),(-166,-39)
(90,92),(90,242)
(82,-13),(32,-13)
(54,-12),(54,-84)
(-29,48),(55,-36)
(-90,-68),(-113,-68)
(-78,69),(-214,-67)
(-32,-49),(-32,84)
(-36,0),(-181,-145)
(-7,-36),(67,38)
(4,-19),(4,128)
(21,21),(21,-57)
(-79,-8),(-79,-170)
(24,74),(76,74)
(44,65),(-125,-104)
(-84,-72),(-84,12)
(29,47),(80,98)
(63,-76),(107,-120)
(5,-66),(5,-203)
(7,51),(-40,98)
(-57,17),(-206,17)
(-56,-39),(-56,-128)
(78,-18),(186,-18)
(11,-55),(11,60)
(44,15),(-118,-147)
(39,-29),(-89,99)
(5,-95),(70,-160)
(56,-57),(56,-22)
(13,59),(-108,180)
(72,93),(149,16)
(-72,53),(-72,-68)
(98,26),(159,26)
(-59,-99),(-172,-99)
(-28,30),(-179,30)
(36,-98),(135,-98)
(-55,40),(-219,204)
(-1,71),(-81,-9)
(64,16),(22,16)
(-79,-27),(-15,-91)
(99,-30),(-41,-30)
(-29,-30),(-191,-30)
(-100,3),(15,118)
(5,-77),(5,-185)
(16,-67),(139,56)
(56,-67),(193,70)
(1,66),(143,-76)
(-61,-96),(-61,-239)
(-25,-90),(35,-150)
(-20,-40),(146,-206)
(64,71),(116,71)
(46,10),(46,-131)
(-5,-10),(-37,-42)
(23,-79),(-48,-8)
(88,-8),(-8,-8)
(-3,46),(-52,46)
(8,-91),(150,-91)
(-31,-84),(-141,26)
(39,50),(94,105)
(-40,-17),(66,-123)
(73,30),(46,3)
(4,85),(-64,153)
(-22,-24),(-22,-186)
(75,-3),(222,-150)
(6,-27),(-99,-27)
(-10,1),(-10,49)
(-97,-28),(-97,-129)
(8,20),(-75,20)
